YEAR,MONTH,Datetime,Rainfall
1963,Dec,01-12-1963,5.276
1964,Jan,01-01-1964,0
1964,Feb,01-02-1964,0.031
1964,Mar,01-03-1964,0.621
1964,Apr,01-04-1964,0.489
1964,May,01-05-1964,26.815
1964,Jun,01-06-1964,25.666
1964,Jul,01-07-1964,334.385
1964,Aug,01-08-1964,252.09
1964,Sep,01-09-1964,99.33
1964,Oct,01-10-1964,4.588
1964,Nov,01-11-1964,0
1964,Dec,01-12-1964,9.043
1965,Jan,01-01-1965,6.415
1965,Feb,01-02-1965,3.476
1965,Mar,01-03-1965,2.832
1965,Apr,01-04-1965,4.419
1965,May,01-05-1965,1.7
1965,Jun,01-06-1965,10.002
1965,Jul,01-07-1965,344.41
1965,Aug,01-08-1965,101.518
1965,Sep,01-09-1965,49.301
1965,Oct,01-10-1965,7.201
1965,Nov,01-11-1965,0.003
1965,Dec,01-12-1965,0.085
1966,Jan,01-01-1966,0.131
1966,Feb,01-02-1966,2.334
1966,Mar,01-03-1966,0.037
1966,Apr,01-04-1966,0.088
1966,May,01-05-1966,25.521
1966,Jun,01-06-1966,71.679
1966,Jul,01-07-1966,193.353
